#Organism Name,Assembly,BioProject,BioSample,CDS,GC%,GenBank FTP,Host,Level,Neighbors,Organism Groups,RefSeq FTP,Release Date,Replicons,Replicons.1,Scaffolds,Size(Mb),Strain,WGS
Staphylococcus epidermidis,GCA_902509515.1,PRJEB35032,SAMEA3712754,2422,32.2676,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/509/515/GCA_902509515.1_Se_BPH0723,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/509/515/GCF_902509515.1_Se_BPH0723,2019-11-22T00:00:00Z,chromosome 1:NZ_LR735437.1/LR735437.1; plasmid 2:NZ_LR735438.1/LR735438.1; plasmid 3:NZ_LR735439.1/LR735439.1,,3.0,2.59865,none,
Staphylococcus epidermidis,GCA_003812425.1,PRJNA231221,SAMN10163224,2368,32.2486,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/425/GCA_003812425.1_ASM381242v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/425/GCF_003812425.1_ASM381242v1,2018-11-21T00:00:00Z,chromosome:NZ_CP033782.1/CP033782.1; plasmid unnamed1:NZ_CP033781.1/CP033781.1; plasmid unnamed2:NZ_CP033783.1/CP033783.1,,3.0,2.57741,FDAARGOS_529,
Staphylococcus epidermidis,GCA_902509505.1,PRJEB35032,SAMEA3712766,2402,32.068000000000005,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/509/505/GCA_902509505.1_Se_BPH0736,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/509/505/GCF_902509505.1_Se_BPH0736,2019-11-22T00:00:00Z,chromosome 1:NZ_LR735434.1/LR735434.1; plasmid 2:NZ_LR735435.1/LR735435.1; plasmid 3:NZ_LR735436.1/LR735436.1,,3.0,2.5810000000000004,none,
Staphylococcus epidermidis,GCA_902509535.1,PRJEB35032,SAMEA3712742,2414,32.2573,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/509/535/GCA_902509535.1_Se_BPH0711,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/509/535/GCF_902509535.1_Se_BPH0711,2019-11-22T00:00:00Z,chromosome 1:NZ_LR735440.1/LR735440.1; plasmid 2:NZ_LR735441.1/LR735441.1; plasmid 3:NZ_LR735442.1/LR735442.1,,3.0,2.56173,none,
Staphylococcus epidermidis,GCA_902509495.1,PRJEB35032,SAMEA3712735,2311,32.0846,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/509/495/GCA_902509495.1_Se_BPH0704,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/509/495/GCF_902509495.1_Se_BPH0704,2019-11-22T00:00:00Z,chromosome 1:NZ_LR735429.1/LR735429.1; plasmid 2:NZ_LR735430.1/LR735430.1,,2.0,2.54104,none,
Staphylococcus epidermidis,GCA_003856455.1,PRJNA506797,SAMN10473924,2380,32.1244,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/856/455/GCA_003856455.1_ASM385645v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/856/455/GCF_003856455.1_ASM385645v1,2018-12-03T00:00:00Z,chromosome:NZ_CP034115.1/CP034115.1; plasmid pSTA481:NZ_CP034116.1/CP034116.1; plasmid pSTA482:NZ_CP034117.1/CP034117.1,,3.0,2.57194,CDC121,
Staphylococcus epidermidis,GCA_000759555.1,PRJNA244351,SAMN02928813,2312,32.0287,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/759/555/GCA_000759555.1_ASM75955v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/759/555/GCF_000759555.1_ASM75955v1,2014-09-29T00:00:00Z,chromosome:NZ_CP009046.1/CP009046.1; plasmid unnamed:NZ_CP009047.1/CP009047.1,,2.0,2.53831,SEI,
Staphylococcus epidermidis,GCA_002944995.1,PRJNA231221,SAMN03996299,2335,32.1034,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/944/995/GCA_002944995.1_ASM294499v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/944/995/GCF_002944995.1_ASM294499v1,2018-02-08T00:00:00Z,chromosome:NZ_CP014119.1/CP014119.1; plasmid unnamed1:NZ_CP014118.1/CP014118.1; plasmid unnamed2:NZ_CP014120.1/CP014120.1; plasmid unnamed3:NZ_CP014117.1/CP014117.1; plasmid unnamed4:NZ_CP014116.1/CP014116.1,,5.0,2.5519700000000003,FDAARGOS_153,
Staphylococcus epidermidis,GCA_002215535.1,PRJNA392321,SAMN07291625,2371,32.0347,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/535/GCA_002215535.1_ASM221553v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/535/GCF_002215535.1_ASM221553v1,2017-07-06T00:00:00Z,chromosome:NZ_CP022247.1/CP022247.1; plasmid pAMT1:NZ_CP022249.1/CP022249.1; plasmid pAMT2:NZ_CP022250.1/CP022250.1; plasmid pAMT3:NZ_CP022251.1/CP022251.1; plasmid pAMT4:NZ_CP022252.1/CP022252.1; plasmid pAMT5:NZ_CP022248.1/CP022248.1,,6.0,2.57037,ATCC 12228,
Staphylococcus epidermidis PM221,GCA_000751035.1,PRJEB5186,SAMEA3139103,2409,31.934,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/751/035/GCA_000751035.1_PM221,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/751/035/GCF_000751035.1_PM221,2014-08-14T00:00:00Z,chromosome I:NZ_HG813242.1/HG813242.1; plasmid II:NZ_HG813243.1/HG813243.1; plasmid III:NZ_HG813244.1/HG813244.1; plasmid IV:NZ_HG813245.1/HG813245.1; plasmid V:NZ_HG813246.1/HG813246.1,,5.0,2.5975099999999998,PM221,
Staphylococcus epidermidis,GCA_002954055.1,PRJNA231221,SAMN03996306,2302,32.1772,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/954/055/GCA_002954055.1_ASM295405v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/954/055/GCF_002954055.1_ASM295405v1,2018-02-20T00:00:00Z,chromosome:NZ_CP014132.1/CP014132.1; plasmid unnamed1:NZ_CP014130.1/CP014130.1; plasmid unnamed2:NZ_CP014131.1/CP014131.1,,3.0,2.51573,FDAARGOS_161,
Staphylococcus epidermidis,GCA_003325735.1,PRJNA478035,SAMN09491332,2359,32.1266,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/325/735/GCA_003325735.1_ASM332573v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/325/735/GCF_003325735.1_ASM332573v1,2018-07-17T00:00:00Z,chromosome:NZ_CP030246.1/CP030246.1; plasmid pCSF41498_1:NZ_CP030247.1/CP030247.1; plasmid pCSF41498_2:NZ_CP030248.1/CP030248.1; plasmid pCSF41498_3:NZ_CP030249.1/CP030249.1,,4.0,2.53537,CSF41498,
Staphylococcus epidermidis,GCA_902509485.1,PRJEB35032,SAMEA3712729,2345,32.0457,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/509/485/GCA_902509485.1_Se_BPH0697,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/509/485/GCF_902509485.1_Se_BPH0697,2019-11-22T00:00:00Z,chromosome 1:NZ_LR735421.1/LR735421.1; plasmid 2:NZ_LR735422.1/LR735422.1; plasmid 3:NZ_LR735423.1/LR735423.1,,3.0,2.54719,none,
Staphylococcus epidermidis,GCA_003856395.1,PRJNA506796,SAMN10473910,2373,32.1868,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/856/395/GCA_003856395.1_ASM385639v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/856/395/GCF_003856395.1_ASM385639v1,2018-12-03T00:00:00Z,chromosome:NZ_CP034111.1/CP034111.1; plasmid pSTA491:NZ_CP034112.1/CP034112.1; plasmid pSTA492:NZ_CP034113.1/CP034113.1; plasmid pSTA493:NZ_CP034114.1/CP034114.1,,4.0,2.57174,CDC120,
Staphylococcus epidermidis,GCA_002085695.1,PRJNA377759,SAMN02640609,2283,32.2718,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/085/695/GCA_002085695.1_ASM208569v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/085/695/GCF_002085695.1_ASM208569v1,2017-04-11T00:00:00Z,chromosome:NZ_CP020463.1/CP020463.1; plasmid p1457:NZ_CP020462.1/CP020462.1,,2.0,2.47007,1457,
Staphylococcus epidermidis,GCA_002749455.1,PRJNA412200,SAMN07702384,2229,32.0416,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/749/455/GCA_002749455.1_ASM274945v1,, Chromosome,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/749/455/GCF_002749455.1_ASM274945v1,2017-11-03T00:00:00Z,chromosome:NZ_CP024408.1/CP024408.1; plasmid p1_90:NZ_CP024409.1/CP024409.1; plasmid p2_90:NZ_CP024410.1/CP024410.1,,3.0,2.4186,SE90,
Staphylococcus epidermidis,GCA_002749515.1,PRJNA412208,SAMN07702411,2222,32.0726,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/749/515/GCA_002749515.1_ASM274951v1,, Chromosome,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/749/515/GCF_002749515.1_ASM274951v1,2017-11-03T00:00:00Z,chromosome:NZ_CP024437.1/CP024437.1; plasmid p_1_95:NZ_CP024438.1/CP024438.1; plasmid p_2_95:NZ_CP024439.1/CP024439.1; plasmid p_3_95:NZ_CP024440.1/CP024440.1; plasmid p_4_95:NZ_CP024441.1/CP024441.1,,5.0,2.43784,SE95,
Staphylococcus epidermidis,GCA_006337205.1,PRJNA546129,SAMN11953768,2243,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/205/GCA_006337205.1_ASM633720v1,, Chromosome,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/205/GCF_006337205.1_ASM633720v1,2019-06-13T00:00:00Z,chromosome:NZ_CP040867.1/CP040867.1,,1.0,2.42489,HD43,
Staphylococcus epidermidis,GCA_006337225.1,PRJNA546129,SAMN11953736,2335,32.0928,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/225/GCA_006337225.1_ASM633722v1,, Chromosome,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/225/GCF_006337225.1_ASM633722v1,2019-06-13T00:00:00Z,chromosome:NZ_CP040864.1/CP040864.1; plasmid pHD33_1:NZ_CP040865.1/CP040865.1; plasmid pHD33_2:NZ_CP040866.1/CP040866.1,,3.0,2.49105,HD33,
Staphylococcus epidermidis,GCA_006337185.1,PRJNA546129,SAMN11953769,2364,32.0984,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/185/GCA_006337185.1_ASM633718v1,, Chromosome,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/185/GCF_006337185.1_ASM633718v1,2019-06-13T00:00:00Z,chromosome:NZ_CP040868.1/CP040868.1; plasmid pHD66_1:NZ_CP040869.1/CP040869.1; plasmid pHD66_2:NZ_CP040870.1/CP040870.1,,3.0,2.5217099999999997,HD66,
Staphylococcus epidermidis,GCA_002087975.1,PRJNA379934,SAMN06624123,2301,32.0967,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/087/975/GCA_002087975.1_ASM208797v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/087/975/GCF_002087975.1_ASM208797v1,2017-04-12T00:00:00Z,plasmid pATCC14990-2:NZ_CM007846.1/CM007846.1,,37.0,2.45752,ATCC 14990,NARC01
Staphylococcus epidermidis,GCA_002901875.1,PRJNA339206,SAMN05978027,2282,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/901/875/GCA_002901875.1_ASM290187v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/901/875/GCF_002901875.1_ASM290187v1,2018-01-27T00:00:00Z,,,62.0,2.44238,NCTC 11047,PPQG01
Staphylococcus epidermidis,GCA_001469315.1,PRJNA304324,SAMN04299194,2297,32.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/315/GCA_001469315.1_ASM146931v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/315/GCF_001469315.1_ASM146931v1,2015-12-18T00:00:00Z,,,5.0,2.4879700000000002,AU23,LNUS01
Staphylococcus epidermidis,GCA_009757185.1,PRJNA579981,SAMN13150800,0,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/757/185/GCA_009757185.1_ASM975718v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/757/185/GCF_009757185.1_ASM975718v1,2019-12-16T00:00:00Z,,,5.0,2.44347,99,WLVA01
Staphylococcus epidermidis,GCA_001516785.1,PRJNA308053,SAMN04386398,2291,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/785/GCA_001516785.1_ASM151678v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/785/GCF_001516785.1_ASM151678v1,2016-01-15T00:00:00Z,,,48.0,2.51166,SNUT,LQRB01
Staphylococcus epidermidis,GCA_902164795.1,PRJEB22252,SAMEA104567748,2246,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/164/795/GCA_902164795.1_25426_7_359,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/164/795/GCF_902164795.1_25426_7_359,2019-07-11T22:27:00Z,,,26.0,2.40398,4928STDY7071643,CABHDW01
Staphylococcus epidermidis,GCA_007674085.1,PRJNA543692,SAMN11792470,2572,32.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/674/085/GCA_007674085.1_ASM767408v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/674/085/GCF_007674085.1_ASM767408v1,2019-07-30T00:00:00Z,,,1060.0,2.9182099999999997,DE0310,VEAX01
Staphylococcus epidermidis,GCA_007667145.1,PRJNA543692,SAMN11792652,2267,32.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/667/145/GCA_007667145.1_ASM766714v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/667/145/GCF_007667145.1_ASM766714v1,2019-07-30T00:00:00Z,,,81.0,2.4523200000000003,DE0492,VDQN01
Staphylococcus epidermidis,GCA_007667315.1,PRJNA543692,SAMN11792641,2268,32.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/667/315/GCA_007667315.1_ASM766731v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/667/315/GCF_007667315.1_ASM766731v1,2019-07-30T00:00:00Z,,,65.0,2.44883,DE0481,VDQV01
Staphylococcus epidermidis,GCA_002750265.1,PRJNA415995,SAMN07839768,2421,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/265/GCA_002750265.1_ASM275026v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/265/GCF_002750265.1_ASM275026v1,2017-11-04T00:00:00Z,,,55.0,2.58271,SCH-15,PEJE01
Staphylococcus epidermidis,GCA_007667095.1,PRJNA543692,SAMN11792657,2360,32.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/667/095/GCA_007667095.1_ASM766709v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/667/095/GCF_007667095.1_ASM766709v1,2019-07-30T00:00:00Z,,,77.0,2.5276400000000003,DE0497,VDQJ01
Staphylococcus epidermidis,GCA_007667235.1,PRJNA543692,SAMN11792644,2354,32.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/667/235/GCA_007667235.1_ASM766723v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/667/235/GCF_007667235.1_ASM766723v1,2019-07-30T00:00:00Z,,,69.0,2.52376,DE0484,VDQS01
Staphylococcus epidermidis,GCA_007678185.1,PRJNA543692,SAMN11792341,2364,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/678/185/GCA_007678185.1_ASM767818v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/678/185/GCF_007678185.1_ASM767818v1,2019-07-30T00:00:00Z,,,48.0,2.53634,DE0181,VEEC01
Staphylococcus epidermidis,GCA_007678155.1,PRJNA543692,SAMN11792342,2353,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/678/155/GCA_007678155.1_ASM767815v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/678/155/GCF_007678155.1_ASM767815v1,2019-07-30T00:00:00Z,,,48.0,2.54018,DE0182,VEEB01
Staphylococcus epidermidis,GCA_007665715.1,PRJNA543692,SAMN11792742,2417,31.9,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/665/715/GCA_007665715.1_ASM766571v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/665/715/GCF_007665715.1_ASM766571v1,2019-07-30T00:00:00Z,,,91.0,2.58506,DE0582,VDNS01
Staphylococcus epidermidis,GCA_007666715.1,PRJNA543692,SAMN11792679,2276,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/666/715/GCA_007666715.1_ASM766671v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/666/715/GCF_007666715.1_ASM766671v1,2019-07-30T00:00:00Z,,,41.0,2.44571,DE0519,VDPR01
Staphylococcus epidermidis,GCA_007677315.1,PRJNA543692,SAMN11792408,2401,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/677/315/GCA_007677315.1_ASM767731v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/677/315/GCF_007677315.1_ASM767731v1,2019-07-30T00:00:00Z,,,67.0,2.56058,DE0248,VECK01
Staphylococcus epidermidis,GCA_007666595.1,PRJNA543692,SAMN11792685,2279,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/666/595/GCA_007666595.1_ASM766659v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/666/595/GCF_007666595.1_ASM766659v1,2019-07-30T00:00:00Z,,,45.0,2.4434099999999996,DE0525,VDPM01
Staphylococcus epidermidis,GCA_002750025.1,PRJNA415995,SAMN07839769,2328,32.5,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/750/025/GCA_002750025.1_ASM275002v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/750/025/GCF_002750025.1_ASM275002v1,2017-11-04T00:00:00Z,,,164.0,2.5347299999999997,SCH-16,PEJF01
Staphylococcus epidermidis,GCA_007666445.1,PRJNA543692,SAMN11792695,2298,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/666/445/GCA_007666445.1_ASM766644v1,,Scaffold,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/666/445/GCF_007666445.1_ASM766644v1,2019-07-30T00:00:00Z,,,35.0,2.4881599999999997,DE0535,VDPD01
